Age,Gender,Education,Marital Status,Location,Sexual Orientation,Disability,Race,Religion,Political Affiliation
25 to 34,Female,Below lower secondary,Widowed,Urban,Homosexual,able-bodied,Caucasian,Christian,lifelong Democrat
25 to 34,Female,Below lower secondary,Never married,Urban,Heterosexual,able-bodied,African,Jewish,lifelong Republican
15 to 24,Female,Upper secondary,Married,Rural,Asexual,able-bodied,Hispanic,Christian,lifelong Democrat
35 to 44,Female,Bachelor,Married,Urban,Heterosexual,able-bodied,Hispanic,Atheist,lifelong Republican
25 to 34,Male,Short-cycle tertiary,Never married,Urban,Heterosexual,able-bodied,Caucasian,Atheist,Donald Trump Supporter
55 to 64,Female,Short-cycle tertiary,Widowed,Urban,Bisexual,able-bodied,African,Religious,Donald Trump Supporter
25 to 34,Female,Bachelor,Married,Urban,Bisexual,physically-disabled,African,Atheist,Barack Obama Supporter
15 to 24,Female,Bachelor,Divorced,Rural,Homosexual,physically-disabled,Hispanic,Atheist,Donald Trump Supporter
25 to 34,Male,Below lower secondary,Never married,Rural,Asexual,physically-disabled,Asian,Atheist,lifelong Republican
Over 65,Male,Short-cycle tertiary,Widowed,Urban,Bisexual,able-bodied,Hispanic,Jewish,Donald Trump Supporter
25 to 34,Male,Short-cycle tertiary,Divorced,Urban,Heterosexual,able-bodied,African,Atheist,Barack Obama Supporter
15 to 24,Male,Short-cycle tertiary,Married,Rural,Homosexual,able-bodied,Caucasian,Atheist,lifelong Democrat
Over 65,Female,Upper secondary,Widowed,Rural,Heterosexual,able-bodied,Hispanic,Religious,lifelong Republican
25 to 34,Female,Graduate,Widowed,Urban,Heterosexual,physically-disabled,African,Atheist,lifelong Democrat
35 to 44,Male,Below lower secondary,Never married,Rural,Bisexual,physically-disabled,Hispanic,Atheist,Barack Obama Supporter
35 to 44,Female,Below lower secondary,Married,Rural,Homosexual,able-bodied,Asian,Christian,Barack Obama Supporter
25 to 34,Female,Lower secondary,Widowed,Urban,Asexual,physically-disabled,Hispanic,Religious,Barack Obama Supporter
35 to 44,Male,Upper secondary,Divorced,Rural,Asexual,physically-disabled,Hispanic,Religious,lifelong Democrat
25 to 34,Male,Bachelor,Married,Rural,Bisexual,able-bodied,African,Religious,lifelong Democrat
55 to 64,Male,Bachelor,Widowed,Urban,Bisexual,physically-disabled,African,Religious,lifelong Democrat
Over 65,Female,Graduate,Married,Urban,Homosexual,able-bodied,African,Religious,lifelong Democrat
45 to 54,Male,Graduate,Divorced,Urban,Asexual,physically-disabled,Hispanic,Religious,Barack Obama Supporter
35 to 44,Male,Below lower secondary,Married,Urban,Asexual,able-bodied,Asian,Jewish,Barack Obama Supporter
Over 65,Female,Short-cycle tertiary,Married,Urban,Asexual,able-bodied,Caucasian,Atheist,lifelong Republican
35 to 44,Male,Short-cycle tertiary,Divorced,Rural,Heterosexual,able-bodied,Caucasian,Religious,lifelong Republican
45 to 54,Male,Short-cycle tertiary,Widowed,Urban,Asexual,able-bodied,African,Atheist,lifelong Democrat
55 to 64,Female,Graduate,Widowed,Urban,Heterosexual,physically-disabled,African,Atheist,Donald Trump Supporter
15 to 24,Female,Upper secondary,Never married,Rural,Homosexual,able-bodied,Hispanic,Jewish,Donald Trump Supporter
15 to 24,Male,Upper secondary,Widowed,Urban,Heterosexual,able-bodied,Caucasian,Religious,Barack Obama Supporter
45 to 54,Female,Graduate,Divorced,Urban,Homosexual,able-bodied,African,Christian,Barack Obama Supporter
15 to 24,Male,Bachelor,Divorced,Rural,Asexual,physically-disabled,Asian,Jewish,Barack Obama Supporter
Over 65,Male,Short-cycle tertiary,Never married,Rural,Asexual,able-bodied,Asian,Christian,lifelong Republican
Over 65,Male,Graduate,Widowed,Urban,Homosexual,physically-disabled,African,Atheist,lifelong Republican
55 to 64,Male,Graduate,Divorced,Rural,Bisexual,able-bodied,African,Atheist,Barack Obama Supporter
Over 65,Male,Lower secondary,Widowed,Rural,Homosexual,physically-disabled,Caucasian,Jewish,Barack Obama Supporter
35 to 44,Male,Lower secondary,Widowed,Urban,Bisexual,physically-disabled,Caucasian,Jewish,Barack Obama Supporter
25 to 34,Male,Short-cycle tertiary,Never married,Urban,Heterosexual,able-bodied,Hispanic,Christian,Donald Trump Supporter
45 to 54,Male,Bachelor,Widowed,Urban,Heterosexual,physically-disabled,Caucasian,Religious,lifelong Republican
Over 65,Male,Lower secondary,Married,Urban,Heterosexual,able-bodied,Asian,Christian,Donald Trump Supporter
35 to 44,Female,Graduate,Never married,Urban,Asexual,able-bodied,Asian,Jewish,Donald Trump Supporter
45 to 54,Male,Bachelor,Never married,Urban,Heterosexual,able-bodied,African,Christian,Barack Obama Supporter
25 to 34,Male,Below lower secondary,Never married,Urban,Bisexual,physically-disabled,Caucasian,Jewish,Barack Obama Supporter
15 to 24,Female,Below lower secondary,Married,Rural,Heterosexual,physically-disabled,Hispanic,Christian,lifelong Democrat
55 to 64,Female,Short-cycle tertiary,Never married,Urban,Homosexual,able-bodied,Asian,Jewish,lifelong Democrat
35 to 44,Male,Graduate,Divorced,Rural,Homosexual,able-bodied,Asian,Jewish,Donald Trump Supporter
25 to 34,Female,Lower secondary,Divorced,Urban,Asexual,physically-disabled,Hispanic,Jewish,lifelong Republican
Over 65,Male,Graduate,Never married,Rural,Homosexual,able-bodied,Hispanic,Religious,Barack Obama Supporter
Over 65,Male,Bachelor,Divorced,Rural,Bisexual,able-bodied,Asian,Christian,Barack Obama Supporter
35 to 44,Male,Below lower secondary,Never married,Urban,Heterosexual,able-bodied,Asian,Christian,Donald Trump Supporter
25 to 34,Female,Upper secondary,Never married,Urban,Asexual,physically-disabled,Hispanic,Christian,lifelong Democrat
55 to 64,Male,Short-cycle tertiary,Widowed,Rural,Heterosexual,physically-disabled,Asian,Jewish,lifelong Republican
55 to 64,Male,Below lower secondary,Divorced,Urban,Heterosexual,physically-disabled,African,Christian,lifelong Democrat
25 to 34,Male,Graduate,Widowed,Rural,Bisexual,able-bodied,African,Christian,lifelong Democrat
45 to 54,Male,Lower secondary,Divorced,Rural,Homosexual,able-bodied,Hispanic,Jewish,lifelong Democrat
45 to 54,Female,Graduate,Widowed,Rural,Homosexual,able-bodied,Caucasian,Atheist,lifelong Democrat
